ranking,openalex_id,orcid,nombre,institucion,pais_institucion,ror,h_index,i10_index,citas,trabajos,campo_principal,dominio,topics,works_api_url
1,A5034708283,,Arend Lijphart,Gobierno de Chile,CL,https://ror.org/02sevrz47,59,115,32776,475,Social Sciences,Social Sciences,Electoral Systems and Political Participation; Political Systems and Governance; European Union Policy and Governance; Agriculture and Rural Development Research; European and International Law Studies,https://api.openalex.org/works?filter=author.id:A5034708283
463,A5020390461,0000-0001-6954-8136,Svenska Arensburg Castelli,University of Chile,CL,https://ror.org/047gc3g35,3,0,32,25,Social Sciences,Social Sciences,"Criminal Justice and Penology; Gender, Violence, Rights in Latin America; Social Sciences and Policies; Social Issues and Policies in Latin America; Legal processes and jurisprudence",https://api.openalex.org/works?filter=author.id:A5020390461
464,A5039230308,,Teresita Jiménez,Adolfo Ibáñez University,CL,https://ror.org/0326knt82,3,2,88,8,Social Sciences,Social Sciences,Social Sciences and Policies; Health and Lifestyle Studies; Eating Disorders and Behaviors; E-Learning and Knowledge Management; Communication and COVID-19 Impact,https://api.openalex.org/works?filter=author.id:A5039230308
465,A5050294941,,Juan González López,University of Chile,CL,https://ror.org/047gc3g35,3,1,106,13,Social Sciences,Social Sciences,Education and Teacher Training; Social Sciences and Policies; Education in Rural Contexts; Public Policy and Governance; Higher Education and Sustainability,https://api.openalex.org/works?filter=author.id:A5050294941
466,A5029262905,0000-0002-3916-4833,Francisco Salinas,Universidad Diego Portales,CL,https://ror.org/03gtdcg60,3,1,51,69,Social Sciences,Social Sciences,Social Sciences and Policies; Photographic and Visual Arts; Cancer Diagnosis and Treatment; Latin American socio-political dynamics; Case Reports on Hematomas,https://api.openalex.org/works?filter=author.id:A5029262905
467,A5018095789,0000-0002-0766-4761,Carla Frías,University of Chile,CL,https://ror.org/047gc3g35,3,1,52,16,Social Sciences,Social Sciences,"Social Sciences and Policies; Stress and Burnout Research; Education in Rural Contexts; Healthcare professionals’ stress and burnout; Aging, Health, and Disability",https://api.openalex.org/works?filter=author.id:A5018095789
468,A5085122187,,Franco Barrera,Instituto Nacional de Capacitación Profesional,CL,https://ror.org/05141h569,3,3,53,6,Social Sciences,Social Sciences,Online and Blended Learning; Educational Assessment and Improvement; Health and Medical Education; Social Sciences and Policies; Public Policy and Governance,https://api.openalex.org/works?filter=author.id:A5085122187
469,A5008401379,,Daniel Briones Mella,Universidad de Magallanes,CL,https://ror.org/049784n50,3,3,59,4,Psychology,Social Sciences,Stress and Burnout Research; Inclusive Education and Diversity; Social Sciences and Policies; Social Issues and Sustainability; Healthcare professionals’ stress and burnout,https://api.openalex.org/works?filter=author.id:A5008401379
470,A5113968200,,Esther Corona Vargas,Universidad Andrés Bello,CL,https://ror.org/01qq57711,3,2,246,14,Social Sciences,Social Sciences,"Gender and Feminist Studies; Social Sciences and Policies; Adolescent Sexual and Reproductive Health; Sexuality, Behavior, and Technology; LGBTQ Health, Identity, and Policy",https://api.openalex.org/works?filter=author.id:A5113968200
471,A5043805865,0000-0002-5229-0754,Camila Ortiz Inostroza,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,3,1,49,6,Social Sciences,Social Sciences,Social Capital and Networks; Political and Social Dynamics in Chile and Latin America; Electoral Systems and Political Participation; Social Media and Politics; Social Policy and Reform Studies,https://api.openalex.org/works?filter=author.id:A5043805865
472,A5103371153,,Andrés Bosch,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,3,2,49,9,Psychology,Social Sciences,Historical and Modern Theater Studies; Social Sciences and Policies; Comparative Literary Analysis and Criticism; Spanish Literature and Culture Studies; Geological and Geochemical Analysis,https://api.openalex.org/works?filter=author.id:A5103371153
473,A5019768447,0000-0002-3956-700X,Gabriel Guajardo Soto,Facultad Latinoamericana de Ciencias Sociales,CL,https://ror.org/03fqcyc11,3,2,49,27,Social Sciences,Social Sciences,"Education and Teacher Training; Social Sciences and Policies; Aging, Health, and Disability; Educational Innovations and Technology; Immigration and Intercultural Education",https://api.openalex.org/works?filter=author.id:A5019768447
474,A5004740623,0000-0001-6826-1678,Claudio Araya-Sassi,Universidad de La Frontera,CL,https://ror.org/04v0snf24,3,2,50,4,"Business, Management and Accounting",Social Sciences,Supply Chain and Inventory Management; Facility Location and Emergency Management; Vehicle Routing Optimization Methods; Advanced Manufacturing and Logistics Optimization; Transportation Planning and Optimization,https://api.openalex.org/works?filter=author.id:A5004740623
475,A5088524568,,Gabriel Vergara,Federico Santa María Technical University,CL,https://ror.org/05510vn56,3,3,56,4,Social Sciences,Social Sciences,"Poverty, Education, and Child Welfare; Fiscal Policy and Economic Growth; Income, Poverty, and Inequality; Financial Markets and Investment Strategies; Economic Growth and Development",https://api.openalex.org/works?filter=author.id:A5088524568
476,A5104092427,,Pablo Seguel Gutiérrez,National Monuments Council,CL,https://ror.org/005p07d97,3,1,20,7,Social Sciences,Social Sciences,"Political and Social Dynamics in Chile and Latin America; Memory, violence, and history; Labor Law and Work Dynamics; Social Sciences and Policies; Migration, Education, Indigenous Social Dynamics",https://api.openalex.org/works?filter=author.id:A5104092427
477,A5032194940,0000-0002-2899-3652,Giselle Davis-Toledo,University of Talca,CL,https://ror.org/01s4gpq44,3,0,20,9,Social Sciences,Social Sciences,"Education and Teacher Training; Migration, Education, Indigenous Social Dynamics; Social Sciences and Policies; Public Policy and Governance; Cultural and Social Studies in Latin America",https://api.openalex.org/works?filter=author.id:A5032194940
478,A5103732848,,Hernán Alfredo Díaz,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,3,0,20,10,Social Sciences,Social Sciences,Advertising and Communication Studies; EEG and Brain-Computer Interfaces; Health and Medical Education; Ethics and bioethics in healthcare; Social Sciences and Policies,https://api.openalex.org/works?filter=author.id:A5103732848
479,A5014294075,,Fernando Valencia Murcia,Metropolitan University of Technology,CL,https://ror.org/04bpsn575,3,1,20,11,Social Sciences,Social Sciences,Social Sciences and Policies; History and Politics in Latin America; Educational Practices and Policies; Health and Medical Education; E-Learning and Knowledge Management,https://api.openalex.org/works?filter=author.id:A5014294075
480,A5073485332,0000-0002-3766-7656,Pedro E. Moscoso-Flores,Adolfo Ibáñez University,CL,https://ror.org/0326knt82,3,0,20,31,Social Sciences,Social Sciences,Social Sciences and Policies; Education and Teacher Training; Philosophical and Cultural Analysis; Political Theory and Democracy; Political and Social Dynamics in Chile and Latin America,https://api.openalex.org/works?filter=author.id:A5073485332
481,A5086562091,0000-0002-5325-1749,Mónica Manríquez-Hizaut,University of Chile,CL,https://ror.org/047gc3g35,3,2,47,11,Social Sciences,Social Sciences,"Migration, Education, Indigenous Social Dynamics; Indigenous Health, Education, and Rights; Social Issues and Sustainability; Social Sciences and Policies; Aging, Health, and Disability",https://api.openalex.org/works?filter=author.id:A5086562091
482,A5087527310,0000-0002-8107-273X,Roberto Aceituno,University of Chile,CL,https://ror.org/047gc3g35,3,2,47,21,Social Sciences,Social Sciences,"Political and Social Dynamics in Chile and Latin America; Memory, violence, and history; Social Sciences and Policies; Psychological Treatments and Disorders; Education and Teacher Training",https://api.openalex.org/works?filter=author.id:A5087527310
483,A5110529799,,Loreto Castillo Collado,Arturo Prat University,CL,https://ror.org/01hrxxx24,3,2,48,5,Psychology,Social Sciences,Stress and Burnout Research; Educational Outcomes and Influences; Social Sciences and Policies; Social impacts of COVID-19; Latin American Urban Studies,https://api.openalex.org/works?filter=author.id:A5110529799
484,A5065270983,,Andrea Tartakowsky,Gobierno de Chile,CL,https://ror.org/02sevrz47,3,2,48,5,Social Sciences,Social Sciences,"Income, Poverty, and Inequality; Regional Development and Innovation; Regional Economic and Spatial Analysis; Intergenerational and Educational Inequality Studies; Poverty, Education, and Child Welfare",https://api.openalex.org/works?filter=author.id:A5065270983
485,A5074202114,0000-0002-7025-7077,Maricela González Moya,University of the Americas,CL,https://ror.org/0166e9x11,3,2,48,19,Social Sciences,Social Sciences,"Migration, Education, Indigenous Social Dynamics; Social Sciences and Policies; Political and Social Dynamics in Chile and Latin America; Public Health and Social Inequalities; Medicine and Dermatology Studies History",https://api.openalex.org/works?filter=author.id:A5074202114
486,A5055244332,0000-0002-9997-8062,Miguel Ángel Martínez Meucci,Austral University of Chile,CL,https://ror.org/029ycp228,3,0,21,12,Social Sciences,Social Sciences,International Relations in Latin America; Political and Social Dynamics in Chile and Latin America; Cultural and political discourse analysis; Political Theory and Democracy; Politics and Society in Latin America,https://api.openalex.org/works?filter=author.id:A5055244332
487,A5074876872,0000-0003-3010-6765,Leticia Arancibia Martínez,Pontificia Universidad Católica de Valparaíso,CL,https://ror.org/02cafbr77,3,0,21,22,Social Sciences,Social Sciences,Social Sciences and Policies; Educational theories and practices; Social and Political Issues; Political and Social Dynamics in Chile and Latin America; Global Education and Multiculturalism,https://api.openalex.org/works?filter=author.id:A5074876872
488,A5062379984,0000-0001-6398-675X,Patricia Hermosilla,University of Chile,CL,https://ror.org/047gc3g35,3,0,21,22,Arts and Humanities,Social Sciences,History of Education in Spain; Educational theories and practices; Social Sciences and Policies; Educational Practices and Policies; Higher Education Teaching and Evaluation,https://api.openalex.org/works?filter=author.id:A5062379984
489,A5016168987,0000-0002-5240-1960,Carlos Álvarez,Dirección de Investigación y Desarrollo,CL,https://ror.org/02schg286,3,0,21,37,Social Sciences,Social Sciences,"Social Sciences and Policies; Human Rights and Immigration; Science, Technology, and Education in Latin America; History and Theory of Mathematics; Finance, Taxation, and Governance",https://api.openalex.org/works?filter=author.id:A5016168987
490,A5072383637,0000-0001-5371-9412,Jonathan Andrades-Moya,Catholic University of the Maule,CL,https://ror.org/04vdpck27,3,1,44,9,Social Sciences,Social Sciences,Education and Teacher Training; Inclusive Education and Diversity; Educational Practices and Policies; Social Sciences and Policies; Educational Innovations and Technology,https://api.openalex.org/works?filter=author.id:A5072383637
491,A5068479459,0000-0003-1443-0653,María Paz Faúndez,Ministry of Education,CL,https://ror.org/018f7hf93,3,3,44,10,Social Sciences,Social Sciences,Education and Teacher Training; Educational Innovations and Technology; Higher Education and Sustainability; Social Sciences and Policies; Social Issues and Sustainability,https://api.openalex.org/works?filter=author.id:A5068479459
492,A5057125154,0000-0003-3905-9520,Germán Rozas Ossandón,University of Chile,CL,https://ror.org/047gc3g35,3,1,69,20,Social Sciences,Social Sciences,Social Sciences and Policies; Social Issues and Sustainability; Social Skills and Education; Regional Development and Innovation; Public Policy and Governance,https://api.openalex.org/works?filter=author.id:A5057125154
493,A5006777090,0000-0003-3152-9620,Guillermo Pereyra,Instituto Nacional de Derechos Humanos,CL,https://ror.org/00tay8944,3,2,69,24,Psychology,Social Sciences,"Memory, violence, and history; Philosophical and Cultural Analysis; Political Dynamics in Latin America; Conflict, Peace, and Violence in Colombia; Political Theory and Democracy",https://api.openalex.org/works?filter=author.id:A5006777090
494,A5028327089,0000-0002-2031-4424,Paulina Ramos,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,3,2,60,86,"Business, Management and Accounting",Social Sciences,Political Influence and Corporate Strategies; International Development and Aid; Nonprofit Sector and Volunteering; Corporate Taxation and Avoidance; Social Policy and Reform Studies,https://api.openalex.org/works?filter=author.id:A5028327089
495,A5002040339,,Rodolfo Schmal S,University of Talca,CL,https://ror.org/01s4gpq44,3,2,61,5,Social Sciences,Social Sciences,Higher Education Teaching and Evaluation; Political Theory and Democracy; Educational Outcomes and Influences; Social Sciences and Policies; Public Policy and Governance,https://api.openalex.org/works?filter=author.id:A5002040339
496,A5058385784,,Carla Cordua Sommer,University of Chile,CL,https://ror.org/047gc3g35,3,2,255,8,Social Sciences,Social Sciences,Social Sciences and Policies; Public Policy and Governance; Philosophical Thought and Analysis; Political Theory and Democracy; Latin American Literature Studies,https://api.openalex.org/works?filter=author.id:A5058385784
497,A5104019058,,Carlos Montoya Aguilar,University of Chile,CL,https://ror.org/047gc3g35,3,1,53,45,Social Sciences,Social Sciences,Public Health and Social Inequalities; Health and Medical Education; Health and Lifestyle Studies; Social Sciences and Policies; Ethics and bioethics in healthcare,https://api.openalex.org/works?filter=author.id:A5104019058
498,A5063168705,0000-0002-2356-3311,Ernesto Cortés Pizarro,Universidad Católica del Norte,CL,https://ror.org/02akpm128,3,2,66,4,Social Sciences,Social Sciences,Social impacts of COVID-19; Water Quality Monitoring and Analysis; Social Sciences and Policies; Membrane Separation Technologies; Higher Education and Sustainability,https://api.openalex.org/works?filter=author.id:A5063168705
499,A5007601515,,Andrea Comelin Fornés,University of Tarapacá,CL,https://ror.org/04xe01d27,3,1,67,7,Social Sciences,Social Sciences,Social Sciences and Policies; Higher Education Teaching and Evaluation; Social Work Education and Practice; Education and Teacher Training; Educational theories and practices,https://api.openalex.org/works?filter=author.id:A5007601515
500,A5023928149,0000-0002-6968-2949,Jorge Brower Beltramín,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,3,2,56,65,Social Sciences,Social Sciences,Literary and Cultural Studies; Social Sciences and Policies; Philosophical and Cultural Analysis; Advertising and Communication Studies; Comparative constitutional jurisprudence studies,https://api.openalex.org/works?filter=author.id:A5023928149
501,A5015713890,,Dariela Sharim Kovalskys,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,3,1,57,7,Social Sciences,Social Sciences,"Social Sciences and Policies; Memory, violence, and history; Latin American socio-political dynamics; Migration, Education, Indigenous Social Dynamics; Aging, Health, and Disability",https://api.openalex.org/works?filter=author.id:A5015713890
502,A5076914883,,Ricardo Andrés Gaete-Quezada,Universidad de Antofagasta,CL,https://ror.org/04eyc6d95,3,3,45,3,Decision Sciences,Social Sciences,Evaluation and Performance Assessment; Educational theories and practices; Innovative Teaching Methodologies in Social Sciences; Gender Diversity and Inequality; Higher Education Governance and Development,https://api.openalex.org/works?filter=author.id:A5076914883
503,A5077902746,0009-0007-0965-187X,Jeffrey Morales,Universidad Andrés Bello,CL,https://ror.org/01qq57711,3,1,45,10,Social Sciences,Social Sciences,"Income, Poverty, and Inequality; Financial Literacy, Pension, Retirement Analysis; Fiscal Policy and Economic Growth; Economic theories and models; Housing Market and Economics",https://api.openalex.org/works?filter=author.id:A5077902746
504,A5035794265,0000-0002-1546-8832,Carlos Vidal,"Universidad de Los Andes, Chile",CL,https://ror.org/03v0qd864,3,1,45,60,"Economics, Econometrics and Finance",Social Sciences,"Business, Innovation, and Economy; Social Sciences and Policies; Diverse Applied Research Studies; Comparative Literary Analysis and Criticism; Occupational Health and Safety in Workplaces",https://api.openalex.org/works?filter=author.id:A5035794265
505,A5070724199,0000-0003-1657-6453,Muriel Armijo Cabrera,Universidad Central de Chile,CL,https://ror.org/0577avk88,3,1,50,18,Social Sciences,Social Sciences,Education in Rural Contexts; Education and Teacher Training; Social Sciences and Policies; Children's Rights and Participation; Public Policy and Governance,https://api.openalex.org/works?filter=author.id:A5070724199
506,A5048724757,,Ximena Valdés Subercaseaux,Academy of Christian Humanism University,CL,https://ror.org/03x7msx65,3,0,22,16,Social Sciences,Social Sciences,"Social Sciences and Policies; Latin American rural development; Global trade, sustainability, and social impact; Migration, Education, Indigenous Social Dynamics; Rural development and sustainability",https://api.openalex.org/works?filter=author.id:A5048724757
507,A5027430990,0000-0002-1413-1170,Luis Enrique Pincheira Muñoz,Centro de Estudios Científicos,CL,https://ror.org/00t8xfq63,3,0,22,16,Social Sciences,Social Sciences,"Immigration and Intercultural Education; Education and Teacher Training; Educational Practices and Policies; Social Sciences and Policies; Migration, Education, Indigenous Social Dynamics",https://api.openalex.org/works?filter=author.id:A5027430990
508,A5055203491,0000-0003-1753-9785,Milton Contreras-Sáez,Catholic University of the Maule,CL,https://ror.org/04vdpck27,3,0,22,17,Social Sciences,Social Sciences,"Social Sciences and Policies; Social Issues and Sustainability; Social Work Education and Practice; Aging, Health, and Disability; Social and Political Issues",https://api.openalex.org/works?filter=author.id:A5055203491
509,A5007969249,0000-0002-3960-8107,Hans Stange,University of Chile,CL,https://ror.org/047gc3g35,3,0,22,18,Social Sciences,Social Sciences,Political and Social Dynamics in Chile and Latin America; Cinema History and Criticism; Photographic and Visual Arts; Cultural and Social Studies in Latin America; Social Sciences and Policies,https://api.openalex.org/works?filter=author.id:A5007969249
510,A5087797256,0000-0003-3442-2052,Juan Carlos Marín,Dirección de Investigación y Desarrollo,CL,https://ror.org/02schg286,3,0,22,27,Social Sciences,Social Sciences,Regional Development and Innovation; Social Sciences and Policies; Water Resource Management and Quality; Psychological Treatments and Disorders; Environmental and Ecological Studies,https://api.openalex.org/works?filter=author.id:A5087797256
511,A5029150579,,Luz Bulnes Aldunate,University of Chile,CL,https://ror.org/047gc3g35,3,0,22,34,Social Sciences,Social Sciences,Comparative constitutional jurisprudence studies; Human Rights and Immigration; Legal processes and jurisprudence; Political Theory and Democracy; Labor Law and Work Dynamics,https://api.openalex.org/works?filter=author.id:A5029150579
512,A5013157503,,Lucy Sepúlveda Velásquez,Academy of Christian Humanism University,CL,https://ror.org/03x7msx65,3,1,24,11,Social Sciences,Social Sciences,Inclusive Education and Diversity; Education and Teacher Training; Developmental and Educational Neuropsychology; Social Sciences and Policies; Educational Methods and Psychological Studies,https://api.openalex.org/works?filter=author.id:A5013157503
513,A5032514362,0000-0002-0047-253X,Ximena Cuadra Montoya,Catholic University of the Maule,CL,https://ror.org/04vdpck27,3,1,24,12,Social Sciences,Social Sciences,"Indigenous Cultures and History; Migration, Education, Indigenous Social Dynamics; Latin American Cultural Politics; Social Sciences and Policies; Political and Social Dynamics in Chile and Latin America",https://api.openalex.org/works?filter=author.id:A5032514362
514,A5110706670,,Pedro Luís,University of Tarapacá,CL,https://ror.org/04xe01d27,3,0,22,62,Social Sciences,Social Sciences,"Comparative constitutional jurisprudence studies; Legal processes and jurisprudence; Social Sciences and Policies; Finance, Taxation, and Governance; Criminal Justice and Penology",https://api.openalex.org/works?filter=author.id:A5110706670
515,A5089955641,,Sergio Carrasco Delgado,University of Concepción,CL,https://ror.org/0460jpj73,3,2,43,36,Social Sciences,Social Sciences,Comparative constitutional jurisprudence studies; Human Rights and Immigration; Political Theory and Democracy; Political Dynamics in Latin America; Political and Social Dynamics in Chile and Latin America,https://api.openalex.org/works?filter=author.id:A5089955641
516,A5064648212,,Pablo Oyarzún,University of Art and Social Sciences,CL,https://ror.org/03xmk2w36,3,1,43,51,Social Sciences,Social Sciences,Philosophical Thought and Analysis; Philosophical and Cultural Analysis; Comparative Literary Analysis and Criticism; Educational theories and practices; Social Sciences and Policies,https://api.openalex.org/works?filter=author.id:A5064648212
517,A5066599670,0000-0002-5397-7443,Raúl Rodríguez Freiré,Pontificia Universidad Católica de Valparaíso,CL,https://ror.org/02cafbr77,3,1,43,76,Social Sciences,Social Sciences,Latin American Literature Studies; Cultural and Social Studies in Latin America; Comparative Literary Analysis and Criticism; Latin American Cultural Politics; Social Sciences and Policies,https://api.openalex.org/works?filter=author.id:A5066599670
518,A5110531536,,Felipe Gutiérrez,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,3,2,44,6,Social Sciences,Social Sciences,"Regional Development and Innovation; Social Sciences and Policies; Migration, Health, Geopolitics, Historical Geography; Labor Law and Work Dynamics; Human Rights and Immigration",https://api.openalex.org/works?filter=author.id:A5110531536
519,A5042139947,0000-0001-7955-7001,Yeliza Gajardo Carvajal,University of Tarapacá,CL,https://ror.org/04xe01d27,3,3,44,7,Arts and Humanities,Social Sciences,"Cultural and Social Studies in Latin America; Migration, Education, Indigenous Social Dynamics; Immigration and Intercultural Education; Educational Practices and Policies; Social Sciences and Policies",https://api.openalex.org/works?filter=author.id:A5042139947
520,A5027653099,0000-0002-2623-066X,Paula da Cunha Corrêa,"Centro Regional de Derechos Humanos y Justicia de Género, Corporación Humanas",CL,https://ror.org/0598sqh06,3,2,48,26,Social Sciences,Social Sciences,"Classical Antiquity Studies; Linguistics and Language Studies; Classical Philosophy and Thought; Cultural, Media, and Literary Studies; Organic Chemistry Synthesis Methods",https://api.openalex.org/works?filter=author.id:A5027653099
521,A5010891384,0000-0003-0001-7235,Daniela Mandiola Godoy,Universidad de Magallanes,CL,https://ror.org/049784n50,3,0,14,5,Social Sciences,Social Sciences,Social Sciences and Policies; Social Issues and Sustainability; Occupational Therapy Practice and Research; Stress and Burnout Research; Literacy and Educational Practices,https://api.openalex.org/works?filter=author.id:A5010891384
522,A5005037708,,Viviana Riquelme Echeverría,University of Chile,CL,https://ror.org/047gc3g35,3,0,14,5,Social Sciences,Social Sciences,"Social Sciences and Policies; Aging, Health, and Disability; Occupational Therapy Practice and Research; Cultural Competency in Health Care; Interpreting and Communication in Healthcare",https://api.openalex.org/works?filter=author.id:A5005037708
523,A5007307255,0000-0003-3145-5713,Darí­o Montero,University of Chile,CL,https://ror.org/047gc3g35,3,1,237,19,Social Sciences,Social Sciences,Critical Theory and Philosophy; Political and Social Dynamics in Chile and Latin America; Cultural and Social Studies in Latin America; Political Theory and Democracy; Marxism and Critical Theory,https://api.openalex.org/works?filter=author.id:A5007307255
524,A5067264411,0000-0002-0886-5960,Gonzalo Bustamante Kuschel,Adolfo Ibáñez University,CL,https://ror.org/0326knt82,3,2,204,23,Arts and Humanities,Social Sciences,Seventeenth-Century Political and Philosophical Thought; Political Theory and Democracy; Political Theology and Sovereignty; Comparative International Legal Studies; Political Dynamics in Latin America,https://api.openalex.org/works?filter=author.id:A5067264411
525,A5011781589,,Carolina Cabezas Cáceres,University of the Americas,CL,https://ror.org/0166e9x11,3,2,193,31,Social Sciences,Social Sciences,Social Sciences and Policies; Health and Medical Education; Public Health and Social Inequalities; Literary and Cultural Studies; Health and Lifestyle Studies,https://api.openalex.org/works?filter=author.id:A5011781589
526,A5108749130,,Javier Ríos,University of Valparaíso,CL,https://ror.org/00h9jrb69,3,1,57,21,Social Sciences,Social Sciences,Educational theories and practices; Social Sciences and Policies; Human Rights and Immigration; Administrative Law and Governance; Criminal Justice and Penology,https://api.openalex.org/works?filter=author.id:A5108749130
527,A5082742709,0000-0002-4675-6677,Guillermo Díaz,Universidad Andrés Bello,CL,https://ror.org/01qq57711,3,2,58,10,Social Sciences,Social Sciences,Electoral Systems and Political Participation; Fiscal Policy and Economic Growth; Media Influence and Politics; Efficiency Analysis Using DEA; Fiscal Policies and Political Economy,https://api.openalex.org/works?filter=author.id:A5082742709
528,A5087592993,0000-0002-6637-2224,Ignacio Alba de Cáceres,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,3,2,58,18,Social Sciences,Social Sciences,Religion and Society in Latin America; Political and Social Dynamics in Chile and Latin America; Social Capital and Networks; Electoral Systems and Political Participation; Sports and Physical Education Studies,https://api.openalex.org/works?filter=author.id:A5087592993
529,A5066388826,,Carlos Lange Valdés,University of Chile,CL,https://ror.org/047gc3g35,3,1,58,25,Social Sciences,Social Sciences,"Latin American Urban Studies; Regional Development and Innovation; Aging, Health, and Disability; Social Sciences and Policies; Urbanism, Landscape, and Tourism Studies",https://api.openalex.org/works?filter=author.id:A5066388826
530,A5078207605,,Herminio Barreiro Rodríguez,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,3,2,58,60,Arts and Humanities,Social Sciences,History of Education in Spain; Educational Practices and Policies; Social Sciences and Policies; Spanish History and Politics; Education in Rural Contexts,https://api.openalex.org/works?filter=author.id:A5078207605
531,A5050116742,,Ignacio Cienfuegos Spikin,Alberto Hurtado University,CL,https://ror.org/00749za89,3,2,69,7,Decision Sciences,Social Sciences,Risk and Safety Analysis; Dutch Social and Cultural Studies; Social Sciences and Policies; Public Policy and Governance; Cooperative Studies and Economics,https://api.openalex.org/works?filter=author.id:A5050116742
532,A5051331227,0000-0001-9279-1847,Carmen Gloria Carbonell,Hospital del Trabajador,CL,https://ror.org/057pdzy92,3,1,163,18,Psychology,Social Sciences,"Stress and Burnout Research; Aging, Health, and Disability; Psychological Treatments and Disorders; Posttraumatic Stress Disorder Research; Social Sciences and Policies",https://api.openalex.org/works?filter=author.id:A5051331227
533,A5079093820,,Nolfa Ibáñez,Metropolitan University of Educational Sciences,CL,https://ror.org/057anza51,3,2,142,4,Social Sciences,Social Sciences,"Indigenous Cultures and Socio-Education; Migration, Education, Indigenous Social Dynamics; Education and Teacher Training; Social Sciences and Policies; Cultural and Social Studies in Latin America",https://api.openalex.org/works?filter=author.id:A5079093820
534,A5022268067,,Ramón López Vega,University of Chile,CL,https://ror.org/047gc3g35,3,2,64,12,"Economics, Econometrics and Finance",Social Sciences,"Economic Theory and Policy; Fiscal Policy and Economic Growth; Income, Poverty, and Inequality; Environmental Impact and Sustainability; Economic and Social Development",https://api.openalex.org/works?filter=author.id:A5022268067
535,A5046213956,0000-0002-7655-2480,Miguel Ruiz Stull,University of Chile,CL,https://ror.org/047gc3g35,3,0,19,32,Arts and Humanities,Social Sciences,Classical Philosophy and Thought; Literary and Cultural Studies; Philosophical and Cultural Analysis; Philosophical Thought and Analysis; Philosophical and Theoretical Analysis,https://api.openalex.org/works?filter=author.id:A5046213956
536,A5028538167,0000-0003-4997-3543,Raquel Rubio,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,3,0,19,32,Arts and Humanities,Social Sciences,"Second Language Learning and Teaching; Social Sciences and Policies; Spanish Linguistics and Language Studies; Latin American socio-political dynamics; Employment, Labor, and Gender Studies",https://api.openalex.org/works?filter=author.id:A5028538167
537,A5029861722,0000-0002-1601-0313,Andrea Uribe,University of Concepción,CL,https://ror.org/0460jpj73,3,0,20,5,Social Sciences,Social Sciences,Social Sciences and Policies; Medieval Iberian Studies; Mechatronics Education and Applications; Advanced Control Systems Design; Archaeological and Historical Studies,https://api.openalex.org/works?filter=author.id:A5029861722
538,A5112146938,,Claudio Retamales Molina,University of Chile,CL,https://ror.org/047gc3g35,3,1,20,6,Social Sciences,Social Sciences,Social Sciences and Policies; Pelvic and Acetabular Injuries; Shoulder and Clavicle Injuries; Orthopedic Surgery and Rehabilitation; Nerve Injury and Rehabilitation,https://api.openalex.org/works?filter=author.id:A5112146938
539,A5009908508,0000-0002-3329-9841,Sofía Correa,University of Chile,CL,https://ror.org/047gc3g35,3,0,14,8,Social Sciences,Social Sciences,Political and Social Dynamics in Chile and Latin America; Opinion Dynamics and Social Influence; Electoral Systems and Political Participation; Religious and Theological Studies; Political Dynamics in Latin America,https://api.openalex.org/works?filter=author.id:A5009908508
540,A5060725629,0000-0001-7422-3205,Borja Castro-Serrano,Universidad Andrés Bello,CL,https://ror.org/01qq57711,3,2,48,38,Social Sciences,Social Sciences,Social Sciences and Policies; Philosophical and Cultural Analysis; Education and Teacher Training; Social Work Education and Practice; Philosophy and Education Pedagogy,https://api.openalex.org/works?filter=author.id:A5060725629
541,A5007089298,0000-0002-1586-6531,Mônica Solange de Martino Bermúdez,Universidad La República,CL,https://ror.org/05xs36f43,3,1,41,38,Social Sciences,Social Sciences,"Social Sciences and Policies; Social and Political Issues; Aging, Health, and Disability; Latin American socio-political dynamics; Gender and Feminist Studies",https://api.openalex.org/works?filter=author.id:A5007089298
542,A5078845955,,María Isidora Mena Edwards,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,3,2,42,3,Social Sciences,Social Sciences,Education and Teacher Training; Educational Innovations and Technology; Social Sciences and Policies; Social Skills and Education; Inclusive Education and Diversity,https://api.openalex.org/works?filter=author.id:A5078845955
543,A5019012444,0000-0003-2424-1207,Francisca Beroíza‐Valenzuela,Centro de Estudios Científicos,CL,https://ror.org/00t8xfq63,3,1,42,19,Social Sciences,Social Sciences,Career Development and Diversity; Education and Teacher Training; Political and Social Dynamics in Chile and Latin America; Gender Diversity and Inequality; Social and Intergroup Psychology,https://api.openalex.org/works?filter=author.id:A5019012444
